english,rohingya,word_type,category
mode,torika,n.,general
model,modhél,n.,general
model,nomuna,n.,general
model,mesál,n.,general
model,cokól,n.,general
moderate,dormiani,n.,general
moderate,niyomor,adj.,general
moderate,dormian,adj.,general
moderate,hora noóde,adj.,general
moderate,ódor baára noóde,adj.,general
moderately,niyom gorí,adv.,general
moderately,mazé gorí,adv.,general
moderately,dormiani gorí,adv.,general
moderation,noya goróon,n.,general
modern,noya,n.,general
modern,jodíd,n.,general
modification,tobdili,n.,general
modified,tobdil goijjé,v.,general
modified,tobdil goijjá,v.,general
modified,esalá goijjé,v.,general
modified,esalá gorágiye,v.,general
modify,bodol,v.,general
modular,mogosi,adj.,general
modular,miyari,adj.,general
modular,bákbák,adj.,general
module,modhúl,n.,general
molar teeth,marír dat ókkol,n.,general
mole,zaasus,n.,general
mom,mother,n.,general
moment,ekkená thaim,n.,general
moment,ekkena woktó,n.,general
monastery,fúngri kiyan,n.,general
money,thiñya,n.,general
money,thiañ,n.,general
money,mal,n.,general
money,nogot,n.,general
money,foisá,n.,general
money,thiñya foisá,n.,general
money,dón,n.,general
money,maldón,n.,general
monitor,monithar,n.,general
monitor,negarani goré,v.,general
monitor,negarani,n.,general
monitor,monitar,n.,general
monitor,nozorrak,v.,general
monitor,monitargor,v.,general
monitor,negaranigor,v.,general
monitored,negarani goijjé,v.,general
monitored,negarani gorágiye,v.,general
monitoring,negerani gorér,v.,general
monk,thóur,n.,general
monk,thóurjya,n.,general
monkey,bañdor,n.,general
monsoon,zórborsat,n.,general
month,mac,n.,general
monthly,macharbari,adv.,general
monthly,macé-macé,adv.,general
mood,muúdh,n.,general
mood,mejas,n.,general
mood,mondocá,n.,general
mood,monorbáb,n.,general
mood,tobiyot,n.,general
mood,háalot,n.,general
mood,háal,n.,general
moon,san,n.,general
moon appeared,san uillé,v.,general
moon comes out,san neele,v.,general
moon decreasing,san cóñço órr,v.,general
moon eclipse,san oré gonná dóijje,v.,general
moon increasing,san dhoóñr órr,v.,general
moon light,san or foór,n.,general
moon light,zunáppor,n.,general
moonless night,fundimaiccá rait,n.,general
moonlight,san or foór,n.,general
moonrise,sun ula,n.,general
moonset,san dhufá,n.,general
moral,ahálak,n.,general
more,beec,adj.,general
more,bicí,adj.,general
more,aró,adj.,general
moreover,yíar baade,adv.,general
morning,beéinna,n.,general
mosque,mosóit,n.,general
mosquito,mucá,n.,general
most,aksér,adj.,general
most,ebbre bicí,adj.,general
most,sóbse bicí,adj.,general
mostly,becbák,adv.,general
mother,maa,n.,general
mother,amma,n.,general
mother,mamá,n.,general
mother,waaleda,n.,general
mother-in-law,óouri,n.,general
mother-in-law,hóouri,n.,general
mother-sister,maa-bóin,n.,general
motherboard,méinbudh,n.,general
motherboard,komputhar or méinbudh,n.,general
mother’s brother,mou,n.,general
mother’s brother,maamu,n.,general
mother’s brother,maar bái,n.,general
mother’s father,nana,n.,general
mother’s father,maar baf,n.,general
mother’s sister,hála,n.,general
mother’s sister,maar bóin,n.,general
motivated,hímmot diyé,v.,general
motivated,boldiyé,v.,general
motivated,hímmot diya giyé,v.,general
motivated,boldiya giyé,v.,general
motivation,théladoon,n.,general
motivation,bíroon,n.,general
motive,sóbob,n.,general
motive,erada,n.,general
motive,niyot,n.,general
mountain,faár,n.,general
mouse,undur,n.,general
mouse,kompyuthar moós,n.,general
moustache,mus,n.,general
mouth,gal,n.,general
mouth,cuñçi,n.,general
move,lor,v.,general
move,loriza,v.,general
move,cór,v.,general
move,lora,v.,general
move,córa,v.,general
move,muúv gor,v.,general
move,hórkot gor,v.,general
move,solo,v.,general
move,larier,v.,general
moved,loijjé,v.,general
moved,lora giyé,v.,general
moved,lari eijjé,v.,general
moved,córai eijjé,v.,general
movement,lorasora,n.,general
movement,hórkot,n.,general
movement,tahárik,n.,general
movement,córoon,n.,general
movement,loroon,n.,general
movement,larasara,n.,general
movement,hórkot gorá,n.,general
movement,andulon,n. Hindi.,general
movie,filim,n.,general
moving,lorer,v.,general
much,bicí,adj.,general
mud,fúth,n.,general
mug,moók,n.,general
mug,moóg,n.,general
mujahid,mujahíd,n.,general
mujahid,hókollá laráigoróya,n.,general
multi,bicí,n.,general
multilingual,bicí zubanwala,n.,general
multiple,bicí,adv.,general
multiple,beec,adv.,general
multiplication,bicí goróon,v.,general
multiplication,zorób goróon,v.,general
multiply,bicí gor,v.,general
multiply,zorób gor,v.,general
murder,mariféla,v.,general
murder,kotól gor,v.,general
murder,kún gor,v.,general
murder,húni gor,v.,general
murdered,marifélaiye,v.,general
murdered,kotol goijjé,v.,general
mushroom,ul,n.,general
music,muzík,n.,general
music,tal,n.,general
musk-melon,baki gula,n.,general
must,hámahá,v.,general
must,laazím,v.,general
must,zoruri,v.,general
must,hámaká,v.,general
must,foribóu,adv.,general
must,hámahá foribóu,adv.,general
must be,óforibóu,phrase.,general
must be,wáforibóu,phrase.,general
must be,táaforibóu,phrase.,general
must be presented,óre dahá foribóu,phrase.,general
mustache,mus,n.,general
mustard oil,hóroit tel,n.,general
mustard oil,hórit tel,n.,general
mutilation,haçiféloon,n.,general
mutton,sóol or gusso,n.,general
mutual,apósi,adj.,general
mutual respect,dunítoróf ór izzot,n.,general
my,añár,pron.,general
myself,aññí nize,pron.,general
myself,aññí nizebaze,pron.,general
mysterious,buzí nofaréde,adj.,general
mysterious,óit nofaréde,adj.,general
mysterious,buzíbélla mockildé,adj.,general
mysterious,buzá nozadé,adj.,general
mysterious,ammúikka,adj.,general
mysterious,gufoni,adj.,general
mysterious,gufoinna,adj.,general
mysterious,bicímur naazuk,adj.,general
naan,nan ruthi,n.,general
nab,bongor,v.,general
nab,dóriloiza,v.,general
nail,nok,n.,general
nail,zouloi,n.,general
nail,cutter nok haçoni,n.,general
name,nam,n.,general
named,nam diyé,v.,general
named,nam diyagiyé,v.,general
namely,yáni,adv.,general
namely,sóiyi hoilé,adv.,general
namely,mesál hísafe,adv.,general
napkin,fakíth,n.,general
napkin,gura toóila,n.,general
narration,kaháni,n.,general
narration,kikióiye,n.,general
narrow,sisijja,adj.,general
narrow,sibasippya,adj.,general
narrow,kutakuitta,adj.,general
narrow,siyon,n.,general
narrow,tong,n.,general
narrow,gura,n.,general
narrow,cóñço,n.,general
nasal,nakor,adj.,general
nasal,nakor,n.,general
nasal,mucus cíin,n.,general
nasal cavity,nakor cór,n.,general
nation,koum,n.,general
nation,umma,n.,general
nation,zati,n.,general
nation,dec,n.,general
nation,racthoro,n.,general
nation,decóitta,n.,general
nation,mullúk,n.,general
national,koumi,adj.,general
national,decór,adj.,general
national,wotóni,adj.,general
national,fura koum or,adj.,general
national,mullúk or,adj.,general
national,bácinda,n.,general
national,decóittar,adj.,general
national,ástanor,adj.,general
national security committee,koumi amóni komithí,phrase.,general
national security committee,koumi sámali komithí,n.,general
nationalism,koumiyot,n.,general
nationalist,koumiyoti,n.,general
nationalist,koumiyottya,n.,general
nationality,decóittayi,n.,general
nationals,decóitta ókkol,n.,general
nationals,koum ókkol,n.,general
nationals,wotóni ókkol,n.,general
nationals,fura koum ókkol,n.,general
nationals,mullúk or manúic ókkol,n.,general
nations,koum ókkol,n.,general
nations,wotóni ókkol,n.,general
nations,ractro,n.,general
nations,decóll,n.,general
nations,mollúk óll,n.,general
native,mokami,adj.,general
native,decóittayi,adj.,general
native,nagori,n. adj.,general
natural,kuduroti,adj.,general
natural string,lota,n.,general
naturally,kuduroti hísafe,adv.,general
nature,kudurot,n.,general
nature,tobiyot,n.,general
nature,kuduroti,adj.,general
naughty,cótan,adj.,general
naughty,cóitan,adj.,general
nauseating,dhúlade,adj.,general
nauseating,zímade,adj.,general
nauseating,olani aiyéde,adj.,general
naval,doijjar,adj.,general
naval,doijja loi taalukde,adj.,general
navel,nagí,n.,general
navigation,ikkáttu ikká solizana,n.,general
navigation,duadui,n.,general
navy,neví,n.,general
navy,baárar doijjar fóus,n.,general
nay,noó,adv.,general
nay,bilkúl noó,adv.,general
nay,ebbre noó,adv.,general
nay,honódin noó,adv.,general
nay,hámahá noó,adv.,general
nay,noó bólke,adv.,general
nay,seróf bólke,adv.,general
near,hañsé,adj.,general
near,korib,adj.,general
near,nozdik,adj.,general
near,borabor,adj.,general
nearby,atehañsé,adj.,general
nearby,aspas,adj.,general
nearby,dhákefisáre,adj.,general
nearer,hañsé háñicca,adj.,general
nearer,beec hañsé,adj.,general
nearest,ebbre hañsé,adj.,general
nearest,sóbse hañsé,adj.,general
nearest,ebbre korib,adj.,general
nearest,ebbre hañsór,adj.,general
nearest,ebbre nozdik,adj.,general
necessarily,zoruri gorí,adv.,general
necessarily,laazím gorí,adv.,general
necessary,zoruri,adj.,general
necessary,laazím,adj.,general
necessary,hámahá lagerde,adj.,general
neck,gola,n.,general
neck,goddana,n.,general
neck back part,goddana,n.,general
necktie,nekthár,n.,general
necktie,thaai,n.,general
need,dorhar,v.,general
need,zorurot,v.,general
need,zoruri,v.,general
need,zorurot fore,v.,general
need,zorurot lage,v.,general
need,zorurot ó,v.,general
need,háajot ó,v.,general
need,lage,v.,general
need,lagouk,v.,general
needed,zorurot óiye,v.,general
needed,laiggé,v.,general
needed,háajot óiye,v.,general
needed,komzuri óiyede,adj.,general
needed,komzuri,adj.,general
needy,moótáj óla,adj.,general
negative,uldha,v.,general
negative,behañ,v.,general
negative,theçá,v.,general
negative,monfí,v.,general
neglect,félai raikké,v.,general
neglect,kiár nogorér,v.,general
neglect,nosaár,v.,general
negligent,forbasára,adj.,general
negotiate,biasana goré,v.,general
negotiate,mili fáisela goré,v.,general
negotiate,hotá hoó,v.,general
negotiate,leendengoré,v.,general
negotiate,maamela goré,v.,general
negotiate,súal juab goré,v.,general
negotiate,bebáar goré,v.,general
negotiate,muzakara goré,v.,general
negotiated,biasana goijjé,v.,general
negotiated,mili fáisela goijjé,v.,general
negotiated,hotá hoóiyé,v.,general
negotiated,leendengoijé,v.,general
negotiated,maamela goijjé,v.,general
negotiated,súal juab goijjé,v.,general
negotiated,bebáar goijjé,v.,general
negotiation,biasana goróon,v.,general
negotiation,mili fáisela goróon,v.,general
negotiation,hotá hoóon,v.,general
negotiation,leendengoróon,v.,general
negotiation,maamela goróon,v.,general
negotiation,súal juab goróon,v.,general
negotiation,bebáar goróon,v.,general
neighbour,ziran,n.,general
neighbour,forusi,n.,general
neighbour,atehañsór manúic,n.,general
neighbourhood,aspas,n.,general
neighbourhood,mohólla,n.,general
neighbourhood,elaka,n.,general
neighbourhood,fara,n.,general
neighbourhood,dicthík,n.,general
neighbouring,góror dhákor,adj.,general
neither,noó,adv. conj.,general
neither,ná,adv. conj.,general
nerve,demaki rok,n.,general
nerve,naáv,n.,general
nerve,rok,n.,general
nervous,dhoradé,adj.,general
nervous,frecan lagerdé,adj.,general
nervous,dhor dhor lager,adj.,general
nervous,demaki rok loi taaluk aséde,adj.,general
nest,bahá,n.,general
net,zal,n.,general
net,nét,n.,general
net,muth,n.,general
net,muthmath,n.,general
net,sáfhamani,adj.,general
net,sáfkimot,adj.,general
network,hamorzal,n.,general
network,komputar nethwaák,n.,general
neurosurgical,demaki rok or operécen ór,adj.,general
neutral,mazétákoya,adj.,general
neutral,háli,adj.,general
neutral,hízara,adj.,general
neutral,dormiana,adj.,general
never,honódin no,adv.,general
nevertheless,baháral,adv.,general
nevertheless,yíarbaade yó,adv.,general
nevertheless,zeén hoibá hoó,adv.,general
nevertheless,zeén óibou óuk,adv.,general
nevertheless,tóu údda,adv.,general
nevertheless,kintu,adv.,general
new,noya,adj.,general
new,noiya,adj.,general
new,nuwa,adj.,general
new,notun,adj.,general
new,furan noó,adj.,general
newly,noya gorí,adv.,general
news,hóbor,n.,general
news,akbar,n.,general
news agency,nyús ejensi,n.,general
newspaper,hóborihabos,n.,general
newspaper,akbar,n.,general
next,tarfore,adj.,general
next,baade,adj.,general
next,tarfor,adj.,general
next,aiyérde,adj.,general
next,yárbaade,adj.,general
next,arekkán,adj.,general
next,aruggwá,adj.,general
next,tarforor,adj.,general
next time,agorbar,adv.,general
next time,tarforbar,adv.,general
next time,dusárabar,adv.,general
next time,tarfor thaim,adv.,general
next time,arekbar,adv.,general
next time,sámmobar,adv.,general
next week,agor háftat,n.,general
next year,agor bosór,n.,general
nice,cúndor,adj.,general
nice,bála,adj.,general
niggling,gura jiníc loi matá hár,v.,general
night,rait,n.,general
night,din noó,n.,general
nightmare,hóraf cóppon,n.,general
nightmare,bura cóppon,n.,general
nine,no,n.,general
nine,no wá,n.,general
nine,9,n.,general
nineteen,unnúic,n.,general
ninety,nobboi,n.,general
nipple,dut dór bath,n.,general
nipple,holi,n.,general
nitrogen,naitrujan háwa,n.,general
nits,uinn or boda,n.,general
nits,uinn or andha,n.,general
no,noó,adv.,general
no,náa,adv.,general
no,nóo,adv.,general
no,noói,adv.,general
no,maná,adv.,general
no peace,ocánti,adv.,general
no peace,precan,adv.,general
no peace,dukkót,adv.,general
no problem,honó mockil nái,v.,general
no problem,honó cómaicca nái,v.,general
noble,córif,adj.,general
noble,nobel,adj.,general
noble,uoror tobkar,adj.,general
nobody,honíkka,pron.,general
noddle,kókswé,n.,general
node,girá,n.,general
noise,abas,n.,general
noise,seéñbu,n.,general
noisy,uzor ola,adj.,general
noisy,uzor,adj.,general
noisy,uzormikká,adj.,general
non,gair,prefix.,general
non-refoulement,waapes nogoríbar kaanun,n.,general
none,kessú nái,pron.,general
nonetheless,tóu údda,adv.,general
nonetheless,tóu yó,adv.,general
nonetheless,tóile,adv.,general
nonetheless,baáral,adv.,general
nonetheless,baaujud,adv.,general
nonetheless,pérbi,adv.,general
noni,atá,n.,general
noon,beil thík,n.,general
nor,noó..naá,conj.,general
nor,náa..náhi,conj.,general
normal,niyomor,adj.,general
normal,dormian,adj.,general
normal,códaran,adj.,general
normal,borabor,adj.,general
normal,cámaino,adj.,general
normal,ódodé,adj.,general
normal,maamúli,adj.,general
normal,aám,adj.,general
normal,áaidi,adj.,general
normal,nomel,adj.,general
normal,normel,adj.,general
normality,dormiani háalot,n.,general
normality,eéñter háalot,n.,general
normally,dormian hísafe,adv.,general
normally,aám hísafe,adv.,general
normally,eéñte,adj.,general
normally,aám tour or uore,adj.,general
north,uttor,adj. adv. n.,general
north east,uttore arde fuge,adj.,general
north west,uttore arde fosíme,adj.,general
northern,uttoror,adj.,general
nose,nak,n.,general
nose tip,nakor matá,n.,general
nostril,nakor fóth,n.,general
not,noó,adj. adv.,general
not,nóo,adj. adv.,general
not,nu,adj. adv.,general
not,nái,adj. adv.,general
not done,goijjá nóo,v.,general
not smart,nasotur,adj.,general
note,nuth,n.,general
notebook,boói,n.,general
notebook,cáda boói,n.,general
notebook,nuth boói,n.,general
noted,nuth goijjé,v.,general
noted,nuth gorá giye,v.,general
nothing,kessú nái,n.,general
nothing,kessú noó,n.,general
notice,notís,n.,general
notice,nuth goré,v.,general
notice,maásus goré,v.,general
notice,elan,n.,general
notice,etalá,n.,general
notice,gour goróon,n.,general
notice,ót goré,v.,general
notice,deké,v.,general
notice,díande,v.,general
notice,dían diyaza,v.,general
notice,thaim bazái,v.,general
noticeable,dahá zade,adj.,general
noticeable,zana zadé,adj.,general
noticeably,sábgorí,adv.,general
noticeably,gomgorí,adj.,general
noticeably,daháza fán,adj.,general
noticed,kíal goijjí,v.,general
noticed,kíal gorágiye,v.,general
noticed,ót goijjé,v.,general
noticed,ót gorá giyé,v.,general
notification,ettála,n.,general
notification,úñciyar gorídiya,n.,general
notification,hóbor gorídiya,n.,general
notification,elám gorídiya,n.,general
noting,nuth gorér,v.,general
noting,nuth gorí,v.,general
notwithstanding,tóu údda,phrase.,general
noun,nam,n.,general
noun,nami,n.,general
novel,kissá,n.,general
novel,nobél,n.,general
novel,rowayot,n.,general
now,ehón,adv.,general
now,yaa,adv.,general
now,ebala,adv.,general
nowadays,ackail,n. adj.,general
nowadays,ezobanat,n. adj.,general
null,sára,adj.,general
null,bekaanuni,adj.,general
number,nombór,n.,general
numbering,nombór diya liís,n.,general
numbering,nombór loi tortif gorér,v.,general
numbering,nombór di zoma gorér,v.,general
numbering,nombór di goner,v.,general
numbers of,bicí,adj.,general
numbness,besút,adj.,general
numbness,sútsára,adj.,general
nun,thóurni,n.,general
nurse,naás,n.,general
nurse,késmot goróya,n.,general
nutrition,geca,n.,general
nutritious,gaar fáaida ola,adj.,general
nutritious,mogóz,adj.,general
nuts,dana ókkol,n.,general
nuts,danaduna,n.,general
oar,foñí,n.,general
oar,kerrual,n.,general
oar long,háñlic,n.,general
oath,hosóm,n.,general
oath,kosóm,n.,general
obedience,fórmadari,n.,general
obey,mano,v.,general
obey,fórmadari goró,v.,general
obey,fórmaboddari goró,v.,general
obey,hotá mano,v.,general
obey,hotá fúno,v.,general
obey,hókum mano,v.,general
obey,manilo,v.,general
obey,fúno,v.,general
obey,falon gor,v.,general
obey,manizo,v.,general
object,ciz,n.,general
object,etaras goré,v.,general
object,uorefora,n.,general
object,asórfora,n.,general
objective,moksót,n.,general
objective,hádef,n.,general
objective,gorós,n.,general
objective,niyot,n.,general
objective,mouzú,n.,general
obligated,zimma buzír,adj.,general
obligation,zimmadari,n.,general
obligation,fóroz,n.,general
obligation,waajib,n.,general
obligatory,fóroz,adv.,general
obligatory,waajib,adv.,general
obligatory,hámahá,adv.,general
obligatory,laazim,adv.,general
oblige,mojbur goré,v.,general
obscene,behúda,adj.,general
obscene,beháiya,adj.,general
obscene,bottomis,adj.,general
obscene,muk lendha,adj.,general
obscene,hóraf,adj.,general
obscene,bura,adj.,general
obscene,hosora,adj.,general
obscene,gail hotá,adj.,general
obscured,añdár goijjé,v.,general
obscured,añdár,v.,general
obscured,sáf noó,v.,general
obscured,hom daházarde,v.,general
observance,mani zoon,n.,general
observance,gour gorá,n.,general
observance,taazim gorá,n.,general
observance,dían diya,n.,general
observance,dían doon,n.,general
observation,saásita,n.,general
observation,negarani,n.,general
observation,gour gorá,n.,general
observation,soón,n.,general
observation,dekóon,n.,general
observe,gour goré,v.,general
observe,saá,v.,general
observe,kíal go,v.,general
observed,gour goijjé,v.,general
observed,saiyé,v.,general
observed,kíal goijjé,v.,general
observer,soóuya,n.,general
observer,saásita goróya,n.,general
observer,kíyal goroya,n.,general
observing,gour gorér,v.,general
observing,saár,v.,general
observing,kíal gorér,v.,general
obstacle,bazá,n.,general
obstacle,berá,n.,general
obstacle,rukawoth,n.,general
obstacle,oñsá,n.,general
obstetrician,maiyafuain dór daktor,n.,general
obstetrician,fuain dórede daktor,n.,general
obtain,háñsilgor,v.,general
obtain,foo,v.,general
obtained,háñsil goijjé,v.,general
obtained,háñsil gorágiye,v.,general
obtaining,háñsil gorír,v.,general
obvious,sáf sáf,adj.,general
obvious,waazé,adj.,general
obvious,zahéri,adj.,general
obvious,buzázade,adj.,general
obvious,ótfade,adj.,general
obviously,sáf gorí,adv.,general
obviously,misthík sára,adv.,general
obviously,sáf sáf gorí,adv.,general
occasion,emouka,n.,general
occasion,émouka,n.,general
occasion,espicél thaim,n.,general
occasion,munaséf thaim,n.,general
occasion,bála mouka,n.,general
occasion,mouka,n.,general
occasion,thaim,n.,general
occasion,woktó,n.,general
occasion,waakia,n.,general
occasion,wajá,n.,general
occasion,sóbob,n.,general
occasion,akkwing akka,n. Burmese.,general
occasion,akka tsamayá,n. Burmese.,general
occasionally,faile foroke,adv.,general
occupant,kobza goróya,n.,general
occupant,kobzadar,n.,general
occupant,dohól goróya,n.,general
occupation,ham,n.,general
occupation,dánda,n.,general
occupation,fecá,n.,general
occupation,kaarubar,n.,general
occupation,hamhoros,n.,general
occupation,hasharbar,n.,general
occupation,bebacá,n.,general
occupation,wozifá,n.,general
occupation,has,n.,general
occupation,amól,n.,general
occupation,dahél,n.,general
occupation,kobza,n.,general
occupied,kobza goijjé,v.,general
occupied,kobza goijjá,v.,general
occupied,kobza gorágiye,v.,general
occupy,kobza goré,v.,general
occur,ó,v.,general
occur,demak ot aiyé,v.,general
occur,óiza,v.,general
occur,óiye,v.,general
occurred,óiye,v.,general
occurred,pec aiccé,v.,general
occurrence,óon,n.,general
occurrence,mótta,n.,general
occurring,órr,v.,general
ocean,sómondor,n.,general
octagon,añcthokuinna,n.,general
of,or,prep.,general
of,ór,prep.,general
of Japan,Jafani,adj.,general
of country,decór,adj.,general
of course,bilkúl,adv.,general
of course,ekni,adv.,general
of course,oboiccó,adv.,general
of course,albattá,adv.,general
of course,becók,adv.,general
of course,zorúr,adv.,general
of life,jandár,adj.,general
of life,zandár,adj.,general
of life,zane,adj.,general
of now,yaar,n.,general
of now,ehón ot,n.,general
of suffering,zilloti,adj.,general
of them,tarár bútottu,phrase.,general
off,bon,adv.,general
offence,hosúri,n.,general
offence,jrúm,n.,general
offence,muhálefa,n.,general
offence,gair kaanuni,n.,general
offence,kaanuni hélaf,n.,general
offended,bezar goijjé,v.,general
offended,naras goijjé,v.,general
offender,mujirim ókkol,n.,general
offensive,beizzontide,adj.,general
offensive,frecan goréde,adj.,general
offensive,naras goréde,adj.,general
offensive,dil e dukfade,adj.,general
offer,zañs,v.,general
offer,zañsi,v.,general
offer,zañso,n.,general
offer,zañse,n.,general
offer,peecgor,v.,general
offer,peecgorí,v.,general
offer,peecgoró,v.,general
offer,peecgoré,v.,general
offer,zañser,v.,general
offer,fuñzer,v.,general
offer,homaide,v.,general
offered,peec goijjé,v.,general
offered,zañissé,v.,general
offered,diyé,v.,general
office,ofís,n.,general
office,doftór,n.,general
office,móktob,n.,general
office,idára,n.,general
office,hamorzaga,n.,general
officer,ofísar,n.,general
officer,boós,n.,general
officer,adikari,n.,general
officer,militarir boro,n.,general
official,córkari,adj.,general
official,ofísali,adj.,general
official,ofísór,adj.,general
official use only,úde córkari estemal,phrase.,general
officials,córkari manúic,n.,general
officials,hókumot or manúic,n.,general
offline,lainor baáre,adj.,general
offline,néthsára,adj.,general
offset,agefisé ó,v.,general
offset,agefisá,adj.,general
offshore,doijjar,adj.,general
offshore,doijjar hañsattu duréde,adj.,general
offspring,fuain,n.,general
offspring,fuain sáin,n.,general
offspring,bafmaar fuain,n.,general
often,egaza,adj.,general
often,aksér,adj.,general
often,bicí híssa,adj.,general
often,bicíhíssa,adj.,general
often,prai,adj.,general
often,gónogóno,adj.,general
oil,tel,n.,general
okey,thíkasé,v.,general
okra,béra,n.,general
old,burá,adj.,general
old,furan,adj.,general
old,furana,adj.,general
old,hoicca noó,adj.,general
old,noiya noó,adj.,general
old man,burá manúic,n.,general
old woman,burá maiyafua,n.,general
older,bicí furan,adj.,general
older,bicí burá,adj.,general
oldest,sóbse furan,adj.,general
oldest,ebbre furan,adj.,general
oldest,sóbse burá,adj.,general
oldest,ebbre burá,adj.,general
oldest,beggún óttu áro furan,adj.,general
oldest,beggún óttu áro burá,adj.,general
olive,zaitun,n.,general
olive oil,zaitun tel,n.,general
ombudsman,ombudsman,n.,general
ombudsman,lukpal,n.,general
ombudsman,mahatasab,n.,general
omit,badde,v.,general
omit,cúçide,v.,general
omit,búle,v.,general
on,uore,prep.,general
on,ot,prep.,general
on,ót,prep.,general
on going,soler,v.,general
on going,zari,v.,general
on going success,zari aséde kaamiyabi,phrase.,general
on its back,sitot,adj.,general
on that day,édin,n.,general
once,ekbar,adv.,general
one,ek,n.,general
one,uggwá,n.,general
one,ekkán,n.,general
one other person,arekzon,n.,general
one other person,ar uggwá manúic,n.,general
one person,ekzon,n.,general
one who eats a lot,ábaitá,adj.,general
one who is brainy,demak ola,adj.,general
one who is brainy,ahol ola,adj.,general
one who is educated,elóm óla,adj.,general
one who is of angry mood,guccá óla,adj.,general
one who is of good manner,ahálak óla,adj.,general
one who is wealthy,foisá óla,adj.,general
one who is wealthy,mal ola,adj.,general
one who sees,dekóya,n.,general
one who sees,dehóya,n.,general
one who struggles,mujahíd,n.,general
one-billion,ek-kuthí,n.,general
one-hundred-thousand,ek-lák,n.,general
one-million,doc-lák,n.,general
one-thousand-one,ek-házar-ek,n.,general
ones,ek ókkol,n.,general
ongoing,solerdé,adj.,general
ongoing,zari,adj.,general
onion,fiañs,n.,general
onion leaves,fiañs fata,n.,general
online,intharnéthot,n.,general
online,néthot,n.,general
online,lainot,n.,general
only,seróf,prep.,general
only,seríf,prep.,general
only,úde,prep.,general
only,cúde,prep.,general
only,bana,prep.,general
only,muthé,prep.,general
only,bós,prep.,general
only,fokót,prep.,general
only,mottoro,prep.,general
only,ekmottoro,prep.,general
only,de,prep.,general
onshore,kulot,adj.,general
onshore,doijjar hañsat,adj.,general
onto,uore,prep.,general
oops,óh,excl.,general
open,kúl,v.,general
open,kúle,v.,general
open,mel,v.,general
open,melé,v.,general
open,kúla,adj.,general
open,kúilla,adj.,general
open invitation,melaa,n.,general
open space,kúla zaga,n.,general
open space,moidan,n.,general
open the mouth widely,áagoró,v.,general
opened,kúille,v.,general
opened,kúlagiyé,v.,general
opened,kúilledé,adj.,general
opened,kúla,adj.,general
opened,meillé,v.,general
opening,kúler,v.,general
opening,kúloon,n.,general
opening,kúlacúru,n.,general
opening,kúlacúruwat,n.,general
opening,kúlakúli,n.,general
openly,kúli,adv.,general
openly,kúlasagori,adv.,general
openness,kúlahála,n.,general
operate,sola,v.,general
operated,solaiyé,v.,general
operated,solagiyé,v.,general
operating,soler,v.,general
operating,solerdé,v.,general
operation,operécen,n.,general
operation,hasharbar,n.,general
operation,militari karwaiyi,n.,general
operation,soloon,n.,general
operation,kaaruwaiyi,n.,general
operational,solibélla redhí,adj.,general
operational,solibélla toiyar,adj.,general
operator,soloya,n.,general
opinion,rai,n.,general
opinion,nozoriya,n.,general
opinion,mocuwara,n.,general
opportunity,mouka,n.,general
opportunity,cózuk,n.,general
opportunity,caáñs,n.,general
opportunity,fóñth,n.,general
oppose,uldha gor,v.,general
oppose,hélaf gor,v.,general
oppose,muhálef gor,v.,general
oppose,biroddó gor,v.,general
opposite,uldha,adj.,general
opposite,uzan,adj.,general
opposite,fissá,adj.,general
opposite,sámme,adj.,general
oppress,zala,v.,general
oppress,zalai,v.,general
oppress,zalo,v.,general
oppress,zulúmgor,v.,general
oppress,oittosar gor,v.,general
oppress,zalafura gor,v.,general
oppress,séta,v.,general
oppression,zulúm,n.,general
oppression,zulúm séta,n.,general
oppression,oittosar,n.,general
oppression,daba,n.,general
oppression,siba,n.,general
oppression,zobór,n.,general
oppression,bolazuri gorá,n.,general
oppressor,zulúm goróya,n.,general
oppressor,sétoya,n.,general
oppressor,zoloya,n.,general
oppressor,oittosar goróya,n.,general
optic,sugór,adj.,general
option,ektiyar,n.,general
optional,ektiyari,adj.,general
optometrist,suk cek goróya,n.,general
or,yáto,conj.,general
or,yá,conj.,general
or,noóile,conj.,general
or,né,conj.,general
or,bá (conj.,unknown,general
or,Bengali.),unknown,general
or,otóba (conj.,unknown,general
orange,color córboti rong,n.,general
orange,córboti,n.,general
orbital,guldair or,adj.,general
order,hokúm,n.,general
order,odhár,n.,general
order,hókumde,v.,general
order,odhárde,v.,general
order,tortib,n.,general
order,tortif,n.,general
order,tortip,n.,general
orderly,tortif gorí,adv.,general
ordinance,hókum,munisipil,general
ordinance,niyom,n.,general
ordinance,rosími kerar,n.,general
ordinary,maamuli,adj.,general
ordinary,códaran,adj.,general
ordinary people,aam,n.,general
ordinate,tortif or sáate,adv.,general
ordinate,bakaida,adv.,general
organ,jisím,n.,general
organ,gaar híssa,n.,general
organ,zisím,n.,general
organ,zisím ór furuza,n.,general
organ,zisím ór paáth,n.,general
organ,furuza,n.,general
organ,orgen,n.,general
organisation,tonzim,adv.,general
organisation,zomáat,n.,general
organise,tortif de,v.,general
organise,tortif gor,v.,general
organise,bebostágor,v.,general
organise,bondubosgor,v.,general
organization,tonzim,n.,general
origin,asól,n.,general
origin,guijja,n.,general
origin,cíñyor,n.,general
origin,asóli,n.,general
original,asól,adj.,general
